Food Name,Category Name,Calories,Carbs,Fats,Fiber,Protein,Sugar,Density
Acerola,Fruits,32,7.7,0.3,1.1,0.4,8.95,0
Apple,Fruits,52,14,0.17,2.4,0.26,10,0
Apricot,Fruits,48,11,0.39,2,1.4,9.2,0
Dried fruit,Fruits,241,63,0.51,7.3,3.4,53,0
Avocado,Fruits,160,8.5,15,6.7,2,0.66,0
Banana,Fruits,89,23,0.33,2.6,1.1,12,0
Blackberry,Fruits,43,9.6,0.49,5.3,1.4,4.9,0
Blueberry,Fruits,57,14,0.33,2.4,0.74,10,0
Boysenberries,Fruits,50,12,0.26,5.3,1.1,6.9,0
Breadfruit,Fruits,103,27,0.23,4.9,1.1,11,0
Carambola,Fruits,31,6.7,0.33,2.8,1,4,0
Cherimoya,Fruits,75,18,0.68,3,1.6,13,0
Cherry,Fruits,50,12,0.3,1.6,1,8.5,0
Crabapple (Malus),Fruits,76,20,0.3,2.4,0.4,8.95,0
Cranberry,Fruits,46,12,0.13,3.6,0.46,4.3,0
Currant,Fruits,56,14,0.2,4.3,1.4,7.4,0
Custard apple,Fruits,101,25,0.6,2.4,1.7,15,0
Dates,Fruits,282,75,0.39,8,2.5,63,0
Elderberry,Fruits,73,18,0.5,7,0.66,7,0
Figs,Fruits,74,19,0.3,2.9,0.75,16,0
Fruit salad,Fruits,50,13,0.03,1,0.51,8.95,0
Gooseberry,Fruits,44,10,0.58,4.3,0.88,8.95,0
Goji berries,Fruits,349,77,0.39,13,14,46,0
Grapefruit,Fruits,42,11,0.14,1.6,0.77,6.9,0
Grape,Fruits,67,17,0.35,0.9,0.63,16,0
Peruvian groundcherry,Fruits,53,11,0.7,4.9,1.9,8.95,0
Guava,Fruits,68,14,0.95,5.4,2.6,8.9,0
Jackfruit,Fruits,95,23,0.64,1.5,1.7,19,0
Java plum,Fruits,60,16,0.23,1,0.72,8.95,0
Jujube,Fruits,79,20,0.2,2,1.2,8.95,0
Kiwifruit,Fruits,61,15,0.52,3,1.1,9,0
Kumquat,Fruits,71,16,0.86,6.5,1.9,9.4,0
Lemon,Fruits,29,9.3,0.3,2.8,1.1,2.5,0
